01-20 22:09:41: Training starting...
01-20 22:09:42: New best reward 13.0 (-100.0%) at episode 0, saving model...
01-20 22:09:42: New best reward 14.0 (+7.7%) at episode 1, saving model...
01-20 22:09:42: New best reward 53.0 (+278.6%) at episode 2, saving model...
01-20 22:09:42: New best reward 66.0 (+24.5%) at episode 15, saving model...
01-20 22:09:42: New best reward 86.0 (+30.3%) at episode 36, saving model...
01-20 22:09:45: New best reward 92.0 (+7.0%) at episode 483, saving model...
01-20 22:09:45: New best reward 105.0 (+14.1%) at episode 492, saving model...
01-20 22:09:46: New best reward 131.0 (+24.8%) at episode 537, saving model...
01-20 22:09:46: New best reward 162.0 (+23.7%) at episode 546, saving model...
01-20 22:09:47: New best reward 172.0 (+6.2%) at episode 679, saving model...
01-20 22:09:50: New best reward 192.0 (+11.6%) at episode 840, saving model...
01-20 22:09:50: New best reward 215.0 (+12.0%) at episode 877, saving model...
01-20 22:09:54: New best reward 221.0 (+2.8%) at episode 1058, saving model...
01-20 22:09:55: New best reward 231.0 (+4.5%) at episode 1095, saving model...
01-20 22:09:56: New best reward 282.0 (+22.1%) at episode 1135, saving model...
01-20 22:10:04: New best reward 310.0 (+9.9%) at episode 1350, saving model...
01-20 22:10:13: New best reward 421.0 (+35.8%) at episode 1530, saving model...
01-20 22:10:16: New best reward 457.0 (+8.6%) at episode 1589, saving model...
01-20 22:10:35: New best reward 524.0 (+14.7%) at episode 1880, saving model...
01-20 22:12:36: New best reward 531.0 (+1.3%) at episode 3630, saving model...
01-20 22:14:48: New best reward 915.0 (+72.3%) at episode 4991, saving model...
01-20 22:18:59: New best reward 1115.0 (+21.9%) at episode 7005, saving model...
01-20 22:19:22: New best reward 1116.0 (+0.1%) at episode 7096, saving model...
01-20 22:19:33: New best reward 1324.0 (+18.6%) at episode 7141, saving model...
01-20 22:19:37: New best reward 1450.0 (+9.5%) at episode 7161, saving model...
01-20 22:19:39: New best reward 3976.0 (+174.2%) at episode 7166, saving model...
01-20 22:19:58: New best reward 34795.0 (+775.1%) at episode 7174, saving model...
01-20 22:23:14: New best reward 75000.0 (+115.5%) at episode 7973, saving model...
