01-20 18:17:48: Training starting...
01-20 18:17:49: New best reward 13.0 (-100.0%) at episode 0, saving model...
01-20 18:17:49: New best reward 28.0 (+115.4%) at episode 1, saving model...
01-20 18:17:49: New best reward 29.0 (+3.6%) at episode 3, saving model...
01-20 18:17:49: New best reward 43.0 (+48.3%) at episode 4, saving model...
01-20 18:17:49: New best reward 44.0 (+2.3%) at episode 20, saving model...
01-20 18:17:50: New best reward 49.0 (+11.4%) at episode 45, saving model...
01-20 18:17:50: New best reward 53.0 (+8.2%) at episode 49, saving model...
01-20 18:17:50: New best reward 58.0 (+9.4%) at episode 53, saving model...
01-20 18:17:50: New best reward 87.0 (+50.0%) at episode 95, saving model...
01-20 18:17:59: New best reward 91.0 (+4.6%) at episode 2213, saving model...
01-20 18:17:59: New best reward 98.0 (+7.7%) at episode 2215, saving model...
01-20 18:17:59: New best reward 120.0 (+22.4%) at episode 2217, saving model...
01-20 18:17:59: New best reward 124.0 (+3.3%) at episode 2232, saving model...
01-20 18:18:00: New best reward 145.0 (+16.9%) at episode 2247, saving model...
01-20 18:18:01: New best reward 171.0 (+17.9%) at episode 2312, saving model...
01-20 18:18:11: New best reward 174.0 (+1.8%) at episode 2829, saving model...
01-20 18:18:11: New best reward 177.0 (+1.7%) at episode 2833, saving model...
01-20 18:19:35: New best reward 192.0 (+8.5%) at episode 10869, saving model...
01-20 18:20:07: New best reward 229.0 (+19.3%) at episode 14101, saving model...
01-20 18:20:18: New best reward 602.0 (+162.9%) at episode 14748, saving model...
01-20 18:20:21: New best reward 890.0 (+47.8%) at episode 14829, saving model...
01-20 18:21:05: New best reward 1580.0 (+77.5%) at episode 17859, saving model...
01-20 18:21:26: New best reward 2429.0 (+53.7%) at episode 20204, saving model...
01-20 18:21:30: New best reward 3244.0 (+33.6%) at episode 20282, saving model...
01-20 18:44:42: New best reward 6014.0 (+85.4%) at episode 40681, saving model...
01-20 18:46:34: New best reward 10465.0 (+74.0%) at episode 42034, saving model...
01-20 19:12:00: New best reward 75000.0 (+616.7%) at episode 71807, saving model...
